,Pitcher,pitcherId,team,PitchType,Hand,Count,RelSpeed,IVB,HB,SpinRate,RelSide,RelHeight,Extension,xrv,Stuff+
6088,J. Sarabia,1177807209,USF,FC,R,44,83.98607977272728,5.055722045454545,-1.187271590909091,2166.9714117500002,1.4109279545454545,5.562060681818182,5.861527727272727,0.08259417008525233,100
6090,D. Marose,1178080000,DEL,CH,R,93,82.22681021505376,9.469684193548387,10.117662795698925,1482.5853472795698,1.665737741935484,5.948162688172043,5.858755268817204,0.09625279715369911,97
6091,D. Marose,1178080000,DEL,CU,R,92,77.9514022826087,-9.691192065217392,-6.741067934782609,2105.6395202173912,1.5265250000000001,6.01604847826087,5.069812934782609,0.08343740451110286,94
6092,D. Marose,1178080000,DEL,FA,R,193,88.65142393782384,12.365713782383418,8.770507823834198,2210.196582279793,1.4873239896373058,5.990310155440414,5.758561554404145,0.13406803051494975,88
6093,D. Marose,1178080000,DEL,FC,R,133,85.86147496240602,9.04588015037594,-0.7244558646616541,2219.968986233083,1.5355778947368421,5.954308045112782,5.6643195488721805,0.08630667816596324,98
6094,D. Marose,1178080000,DEL,SI,R,97,88.28477051546392,10.014848762886599,14.680257938144331,2157.380828268041,1.526343505154639,5.940626494845361,5.750789896907217,0.12330253003200532,92
6102,D. King,1178258176,TROY,FA,R,70,90.56692871428572,17.045748142857143,9.340197571428572,2000.908925442857,1.2070054285714287,6.425998571428572,6.432406142857143,0.1192867830596013,95
6105,M. Martinez,1178374912,ARIZ,CH,R,256,77.27420834375,10.6519370703125,11.86545299609375,1627.441013640625,1.0688102546601563,6.31375348109375,4.95814434765625,0.07526610603876098,113
6106,M. Martinez,1178374912,ARIZ,CU,R,33,79.2424640909091,-6.2021460606060606,-4.643854454545455,2406.28017730303,0.9063729696969697,6.29293796969697,4.3854448787878795,0.06449053881403499,108
6107,M. Martinez,1178374912,ARIZ,FA,R,97,87.87504707216495,20.46906401030928,7.287806453608248,2012.7841701134023,0.5821473700824742,6.3819300738144324,4.795702649484536,0.11397803587673137,98
6109,M. Martinez,1178374912,ARIZ,SL,R,65,79.84538915384614,-2.1482623076923075,-2.1514239692307693,2336.883162230769,0.9758496731999999,6.318247381784616,4.509471323076923,0.06780541382011604,107
6110,A. Ramos,1178699192,LBSU,CH,R,33,82.79760818181818,7.442217272727272,4.86139696969697,956.7836918484849,1.143800606060606,5.9628421212121205,4.957770606060606,0.11384955030767656,84
6112,A. Ramos,1178699192,LBSU,FA,R,129,90.30167124031009,20.004934418604652,6.499221007751938,2279.281920860465,0.9306247286821705,6.09434496124031,5.45927534883721,0.10131094791283103,105
6114,A. Ramos,1178699192,LBSU,SL,R,97,81.27217134020619,3.218905463917526,-6.926320721649485,2512.5428334639173,1.1456194845360825,5.974607835051547,5.019257319587629,0.06512848298985549,109
6115,S. Heyman,1178715648,BEL,CH,R,57,81.74553122807018,4.576208421052632,13.07961298245614,1637.1883048245613,2.37033350877193,5.189257543859649,6.733192631578948,0.09623439970359589,97
6117,S. Heyman,1178715648,BEL,FA,R,262,89.22290103053435,15.71223110687023,8.55059320610687,2178.1841379198477,2.1776331297709923,5.376522175572519,6.763223320610687,0.10251308335799565,104
6118,S. Heyman,1178715648,BEL,FC,R,105,83.710282,7.9063596190476195,-2.039168476190476,2159.848103438095,2.427707333333333,5.137798571428571,6.296150285714286,0.0730838989010632,105
6119,S. Heyman,1178715648,BEL,SI,R,57,90.21419157894736,11.990405789473684,15.833087894736842,2120.49124,2.233281052631579,5.176645263157895,6.6625810526315785,0.09781406167916849,109
6120,S. Heyman,1178715648,BEL,SL,R,127,79.76772708661417,3.4711458267716533,-8.925943937007874,2221.9375388976378,2.3899107086614175,5.204188818897637,6.089734960629921,0.0839171530178609,94
6124,B. Ball,1178719744,BYU,SI,R,25,87.0056508,4.3861912,16.099142,1955.55574208,2.3882124,4.9483208,5.5107224,0.12091092448345768,94
6126,J. Terry,1178883302,LA S,CH,R,48,82.606905,5.40832125,14.636036666666667,2012.2474041875,2.062550416666667,5.05328,5.373792291666667,0.11149554764095278,86
6128,J. Terry,1178883302,LA S,FA,R,257,87.50271883268482,16.573764513618677,12.74959225680934,2381.3594973229574,1.845554747081712,5.375162412451362,5.677744941634241,0.12131201096137818,94
6129,J. Terry,1178883302,LA S,FC,R,78,79.64764089743589,0.9475958974358974,0.21036358974358976,2418.0269012820513,1.8592097435897437,5.359278717948718,5.17401141025641,0.09134341542093212,95
6131,J. Terry,1178883302,LA S,SL,R,110,75.61128763636364,-4.836317727272728,-10.81628118181818,2451.368531090909,1.9579288181818182,5.139002181818182,5.091162363636364,0.0962708918945783,84
6136,N. Peterson,1179135232,UCSB,SI,L,31,88.41881741935485,14.286296774193548,-19.26114129032258,2164.0528408387095,-2.4792054838709676,5.533765161290322,5.323988387096774,0.0727538932976572,124
6137,N. Peterson,1179135232,UCSB,SL,L,34,80.60378529411764,-2.546316470588235,4.626962647058824,2338.447203735294,-2.204781470588235,5.542051470588236,5.119791764705883,0.07602423071511803,100
6139,T. Lange,1179274495,NKU,CU,L,77,76.28851272727273,-9.086586883116883,12.062784805194806,2512.805072909091,-2.412662207792208,5.873732467532467,5.016443376623377,0.06749823175581553,106
6140,T. Lange,1179274495,NKU,FA,L,153,90.18827679738563,17.64478470588235,-11.756010392156863,2354.283471594771,-2.1805353594771244,6.089610915032679,5.682499150326797,0.0898556019950156,111
6145,R. Crochet,1179293184,GW,SI,L,71,84.92812,10.24926633802817,-16.224394366197185,1926.6785918450705,-3.024559014084507,5.536930422535211,5.994521830985915,0.1257270795044721,91
6149,I. Araiza,1179326720,SDSU,FA,R,59,89.37790644067796,18.174335762711866,5.87451372881356,2081.536773661017,1.0343981355932204,6.562518983050848,6.254906779661017,0.11606987231815151,97
6153,I. Araiza,1179326720,SDSU,SL,R,191,78.76219089005237,-0.26293832460732985,-3.6568045549738217,2114.6339375811517,1.266754502617801,6.430187486910994,5.834977748691099,0.07182048633379565,104
6156,C. Revay,1179563264,PAC,CH,L,101,82.31877396039603,7.156505841584159,-16.500424455445543,1608.9830236237624,-2.0655968316831683,5.402252079207921,5.336836336633664,0.10728146214217521,89
6157,C. Revay,1179563264,PAC,CU,L,95,76.29832136842104,-11.938708631578947,11.693382631578947,2267.2620965789474,-1.9310506315789475,5.568335368421052,5.224578842105263,0.07296919645923337,102
6158,C. Revay,1179563264,PAC,FA,L,335,90.9927732238806,15.067734328358208,-16.47981104477612,2231.327693167164,-1.9581433432835822,5.565723970149254,5.392119373134328,0.0835936140803994,114
6160,C. Revay,1179563264,PAC,SI,L,32,90.743528125,10.7261440625,-17.1813128125,2192.01424228125,-1.9852353125,5.5327603125,5.4032409375,0.10298257165053087,105
6161,C. Revay,1179563264,PAC,SL,L,90,79.895482,1.1990122222222224,2.130781333333333,2143.467941288889,-1.9790827777777777,5.3647467777777775,5.222874111111111,0.08403656415040997,94
6166,R. Walton,1179985408,PEAY,CH,R,50,84.2617124,7.4016665999999995,13.118160600000001,1607.7460074399999,1.9677286,5.404582799999999,6.060385,0.10545562361153316,90
6167,R. Walton,1179985408,PEAY,CU,R,130,75.99511238461538,-12.594409769230769,-15.822306615384615,2985.3984863153846,1.5933524615384616,5.778072769230769,5.3427901538461535,0.07098404491674079,103
6168,R. Walton,1179985408,PEAY,FA,R,282,90.42272758865249,17.528010460992906,7.890090638297872,2403.307476315603,1.5166690780141843,5.899588971631205,6.089930744680851,0.10981622811171392,100
6169,R. Walton,1179985408,PEAY,FC,R,175,84.62170142857143,5.186417542857143,-3.3478190285714287,2493.205202154286,1.6954272000000001,5.822369714285714,5.544677657142857,0.07285198747432262,105
6171,R. Walton,1179985408,PEAY,SL,R,33,83.09430424242424,2.1750393939393935,-4.48808696969697,2467.2117085151513,1.6595542424242424,5.262039090909091,5.549941212121212,0.08082782603483328,97
6173,S. Maclaughlin,1180311317,MOSU,CU,L,57,75.24449368421052,-14.537196842105264,11.73878754385965,2778.5441653859652,-1.9248670175438598,5.735720175438597,5.719865087719298,0.06588306734877249,107
6174,S. Maclaughlin,1180311317,MOSU,FA,L,52,89.04274384615384,14.6324625,-2.1270357692307695,2435.9478857884615,-1.6934217307692307,5.966715961538461,6.459154038461539,0.1051813905424077,103
6179,H. Brummel,1180332362,ILST,FA,R,25,91.66212960000001,12.3986716,18.3945128,2047.7334201600002,2.0847116,6.0596976,5.5405008,0.11439544557434149,98
6183,J. Pfister,1180689622,UNCO,FA,R,89,89.6904308988764,16.830436516853933,7.224042584269663,2378.258063370786,2.2499098876404497,6.265341797752809,5.659384494382023,0.11684690099100761,97
6184,J. Pfister,1180689622,UNCO,SL,R,45,79.54341111111111,-0.7927566666666667,-3.2185873333333337,2113.5167985555554,2.4425113333333335,6.092118888888889,5.102169111111111,0.08081409917095736,97
6185,A. Roblez,1180787200,ORST,CH,R,80,84.8664944375,7.22559685,8.89695985,1312.8281295625,0.7669589745,6.651405060499999,6.0300960625,0.0690179749444682,117
6186,A. Roblez,1180787200,ORST,CU,R,52,80.02633382692308,-12.623862942307692,-1.7839282115384616,2328.5496369615385,0.893031493423077,6.6056574367692305,5.702082384615385,0.05047583215345093,119
6187,A. Roblez,1180787200,ORST,FA,R,153,91.41796949019609,24.058318477124185,2.50508645751634,2317.6843815816997,0.7357300213267974,6.700330631320262,6.195393372549019,0.0615265510641909,125
6191,A. Roblez,1180787200,ORST,SL,R,78,82.898015,-1.8929160256410256,-10.193621282051282,2427.092543192308,1.0308558974358975,6.543027948717949,5.699503205128205,0.05671941938453575,116
6194,J. Sams,1181118461,UK,FA,R,186,89.93781413978495,18.170101827956987,11.202100053763441,2026.212287155914,1.5030536021505376,5.620495967741936,6.641849032258064,0.09610995306172673,107
6197,L. Calveric,1181318912,WM,CH,R,70,82.83079428571429,7.141444,17.307899285714285,1230.6126178,1.5614817142857143,6.363170714285714,5.750400285714286,0.06700813040928999,119
