,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
2207,J. Ackerman,1299957248,MER,843,L,112,100,110,,113,93,,108
2208,B. Barfield,1299957504,GT,312,L,102,91,,,,93,,99
2209,N. Sliver,1299968256,KENN,957,R,100,93,100,,84,105,,94
2210,L. Wiltrakis,1299999232,UGA,30,R,112,,,,,,,112
2211,J. Feld,1300599553,GONZ,685,R,107,97,,94,,95,,102
2212,K. Luxem,1300897633,UIC,98,R,100,,,,,,,100
2213,J. Boland,1301026302,PUR,254,R,91,111,95,,,109,,102
2214,L. Harris,1301044938,UK,245,L,110,111,,98,116,106,,109
2215,R. Bozenhard,1301089025,USA,760,R,102,105,97,103,99,86,,100
2216,C. Consiglio,1301089280,NCST,947,L,118,112,106,,,100,,111
2217,H. Dietz,1301090561,ARK,1195,L,115,133,142,132,,,,125
2218,T. Haines,1301145856,UAB,115,R,93,,100,,,,,95
2219,T. Hester,1301475409,UNCG,403,L,113,97,,,,,,108
2220,J. Hedrick,1301540226,DUKE,635,R,95,110,,104,98,99,,101
2221,L. Hazen,1301671800,QUIN,29,R,98,,,,,,,98
2222,C. Fitzgerald,1301684992,PSU,869,R,96,113,119,90,,104,,102
2223,C. Smith,1302062127,UNCA,429,R,83,87,93,,,110,,95
2224,J. Hauser,1302102528,CREI,230,R,95,104,,,99,,,101
2225,B. Lucas,1302939136,MOSU,987,R,101,105,103,97,,95,,101
2226,D. Whalen,1303167488,AUB,96,R,113,113,,,,,,113
2227,S. Jones,1303303936,UTM,124,R,96,,,,,,,96
2228,J. Furtado,1303340032,MORE,154,R,122,95,,,,,,115
2229,A. Solis,1303346688,EIU,537,R,96,115,,,,109,,100
2230,D. McCarron,1303419392,JOES,903,R,114,98,89,100,,98,,106
2231,C. Clarke,1303446784,ORE,803,R,97,97,,,,104,,99
2232,O. Simmons,1303447552,CAMP,456,R,95,103,91,104,94,99,,99
2233,R. Kroepel,1303465472,UTU,294,R,94,87,,,,,,92
2234,N. Andrunas,1303470848,SLU,706,R,86,78,93,,,96,,87
2235,M. Levari,1303531776,LA S,175,R,114,97,,,,,,107
2236,A. Gaines,1303532288,JOES,436,R,110,104,106,102,,111,,108
2237,R. Lastres,1303793408,FIU,143,R,100,,,,,,,100
2238,J. Blackwell,1304267635,MCNS,347,L,111,104,122,,105,100,,109
2239,O. Poole,1304410112,XAV,504,R,106,95,92,91,110,94,,99
2240,W. Palmer,1304413441,RAD,136,L,106,99,,,,105,,104
2241,C. Morse,1304683520,INST,632,R,114,105,99,,,95,,108
2242,C. Moore,1304691713,LSU,413,R,81,,105,94,98,122,,104
2243,M. Knight,1304692992,MOSU,730,L,95,111,123,,,,,111
2244,C. Fisher,1304693248,ARK,762,L,96,,112,,107,101,,104
2245,W. Perkowski,1304694784,DAY,93,R,111,,,,,101,,107
2246,C. Barker,1304701440,MRMK,190,R,96,93,,97,,,,95
2247,R. Higgins,1304777829,UCRV,208,L,,76,,,84,86,,83
2248,A. Rudd,1304813312,CBU,399,R,97,105,109,,,100,,103
2249,S. Hall,1305069568,TXST,552,R,99,110,101,,,120,105,104
2250,S. Hamilton,1305283328,HOF,606,R,103,101,,103,106,97,,103
2251,B. Shannon,1305389198,LOU,560,R,112,104,,,122,107,109,112
2252,D. Smith,1305695258,CSF,883,R,92,101,90,,101,104,,99
2253,A. Tommasini,1305701553,SAM,346,R,99,108,,,,,,102
2254,E. Zufall,1305947324,BYU,320,R,107,104,,105,,,,106
2255,J. Ruller,1306199808,QUC,1013,L,104,104,,,100,98,,102
2256,T. Finkbeiner,1306235015,MICH,231,R,121,115,,,,,,120
2257,A. Thomas,1306271232,MRST,97,L,92,78,,,,,,87
2258,J. Villar,1306289639,UCSD,634,L,86,99,,101,98,93,,94
2259,D. Thompson,1306329344,WMU,138,R,96,112,,,91,,,101
2260,O. Crowe,1306465249,MSM,205,L,121,108,,,,,,118
2261,C. Alderman,1306683393,MTU,881,L,97,110,,,119,106,,103
2262,J. Dahlof,1306719744,OAK,632,R,89,105,96,,,,,95
2263,N. Dvorsky,1306736128,CLEM,85,R,96,,,95,,,,95
2264,D. Terwilliger,1306774273,MASS,75,R,,81,,,105,,,94
2265,B. Blevins,1306812928,MRSH,1358,L,90,89,,,,79,,88
2266,W. Sword,1306819328,PRIN,504,R,87,109,101,,,,,95
2267,J. Calabretti,1306832896,SBON,145,R,99,103,,,,,,101
2268,S. Seid,1306838784,GTWN,410,L,115,93,,,,98,,109
2269,C. Abadie,1306839040,SDSU,239,L,94,91,,,98,98,,96
2270,R. Bueno,1306871553,USD,60,R,,102,,,,,,102
2271,B. Antolick,1306878976,ECU,150,R,107,109,,96,,,,105
2272,A. Bowers,1306907648,CIT,433,R,99,85,,90,,93,,94
2273,G. Paige,1306910976,WRST,893,L,110,,93,103,,103,,106
2274,M. McDaniel,1306912512,PRE,317,L,96,95,,,,105,,101
2275,R. Bowie,1306914798,WAKE,593,L,112,105,102,81,122,,,104
2276,R. Vermillion,1306936320,SAM,128,R,96,,,,,106,,99
2277,A. Fierro,1306990080,MRST,282,R,104,98,90,,,,,99
2278,N. Robert,1307000320,MIA,50,R,101,,,,,,,101
2279,C. Martinez,1307041281,HOF,1037,R,115,110,109,,,104,,112
2280,B. Loper,1307046400,MRMK,90,R,88,90,,,,102,,93
2281,J. Wywoda,1307056128,HC,818,R,92,90,86,78,91,93,,90
2282,J. Lazark,1307058944,SCU,199,R,113,,,105,,,,110
2283,B. Purcell,1307080960,FSU,512,R,128,113,,,,138,,126
2284,R. Hall,1307084033,ILL,1177,L,105,93,107,108,102,92,,102
2285,J. Gowan,1307147785,QUC,826,R,91,95,,,81,94,,91
2286,C. Poirrier,1307169792,NICH,140,R,,,,98,96,,,97
2287,C. Starling,1307223644,WCU,30,R,103,,,,,,,103
2288,D. Stone,1307558635,MSST,1084,R,117,109,104,,,111,,112
2289,J. Beattie,1307623424,NAVY,343,R,107,90,,,,,,104
2290,T. Deitelbaum,1307927296,LAF,166,R,93,89,92,,,,,92
2291,R. Egan,1307927808,FOR,247,R,96,79,,,,107,,97
2292,B. Coulter,1308025674,CIT,504,R,94,92,94,,93,94,,93
2293,B. Miller,1308181507,BC,690,L,107,108,,92,109,104,,105
2294,K. Walker,1308560384,JKST,445,L,96,100,102,,,,,98
2295,K. Froehlich,1308573184,TXST,666,R,96,,100,96,,102,99,97
2296,J. Sauer,1309188088,SEMO,524,R,101,98,,,,100,,100
2297,T. Twist,1309412864,ORE,552,L,118,112,97,,,89,,110
2298,B. Halloran,1309416448,OAK,38,R,77,,,,,,,77
2299,A. Behrens,1309418496,LMU,865,R,100,91,,96,95,108,,99
2300,A. Mateo,1309468416,AAMU,121,R,86,95,,,,,,89
2301,C. Rhein,1309473281,BING,151,R,88,98,,,94,98,,95
2302,D. Fieger,1309501952,EVAN,166,R,110,,,,,87,,102
2303,Z. Stevens,1309516544,USA,615,R,105,103,96,96,,95,,101
2304,M. Foster,1309521152,COR,276,R,93,88,,,91,,,91
2305,E. Underhill,1309534720,PEAY,379,R,116,102,,,99,,,112
2306,D. Christensen,1309562016,ORU,133,R,98,109,,,,,,101
2307,B. McDonnough,1309787037,BEL,343,R,99,84,,,106,,,101
2308,M. Dallas,1309803776,WAKE,32,L,111,,,,,,,111
2309,C. Brasch,1310239714,ULL,918,R,112,109,95,,,,,109
2310,A. Berg,1310308608,ARMY,1007,R,94,111,,100,,,,104
2311,K. Henrich,1310315008,UNA,43,R,93,,,,,,,93
2312,K. Leckszas,1310362112,GTWN,299,R,104,86,96,,,84,,97
2313,M. Tramontana,1310367488,APP,467,R,90,,94,100,,,,95
2314,B. Peterson,1310369536,NJIT,265,R,107,101,,,,101,,104
2315,N. Benhardt,1310372608,LIU,116,R,80,88,,,,,,84
2316,B. Poynter,1310380288,MORE,70,R,90,,,,96,,,92
2317,P. Thomas,1310394112,GMU,386,R,87,98,,101,93,104,,95
2318,O. Pierce,1310401280,WM,119,R,91,,,100,,,,94
2319,J. Vera,1310408448,FGCU,106,R,93,102,,,,93,,96
2320,A. Bouche,1310415616,ECU,141,R,103,110,107,,,,,106
2321,G. Stieg,1310417920,VT,944,R,106,122,,109,106,89,,107
2322,C. Martinez,1310427136,MASSL,28,L,87,,,,,,,87
2323,H. Rowan,1310432768,LT,1111,L,108,93,55,,,96,,96
2324,J. Geiser,1310447104,M-OH,280,R,86,,100,,,95,,90
2325,N. Czajkowski,1310455808,PITT,87,R,,,,107,,,,107
2326,D. Moran,1310466561,STET,471,R,106,101,101,110,,99,,105
2327,J. Vargas,1310467585,FIU,476,R,101,85,,,100,87,,95
2328,L. McNeillie,1310512896,FLA,482,R,121,115,,121,,92,,115
2329,S. Brinham,1310529077,MICH,961,L,114,95,107,,,98,,108
2330,J. Core,1310530560,STET,653,R,92,98,,105,90,96,,96
2331,S. Nomura,1310537216,ELON,438,R,93,93,,,101,96,,95
2332,B. Gebhardt,1310580736,YSU,870,L,112,119,117,113,,88,,113
2333,K. Wickersham,1310598656,WSU,152,R,89,,111,,,,,96
2334,G. Rizzo,1310600960,USC,145,R,106,,103,,,,,105
2335,J. Hooker,1310603776,XAV,391,R,91,99,,107,95,,,96
2336,M. McCrary,1310612480,MSM,454,R,101,84,,,,88,,97
2337,B. Little,1310612992,WOF,631,R,96,106,,105,99,109,,101
2338,K. Durnin,1310639988,TCU,273,R,104,,110,98,,,,105
2339,G. Jones,1310641921,KENT,411,R,100,107,,,,107,,103
2340,C. Herrell,1310658048,USC,815,R,114,97,100,92,,101,,107
2341,D. Boisvert,1310677760,DUKE,195,R,,94,,,102,115,,110
2342,J. Tuttoilmondo,1310680832,TOWS,458,R,105,95,,,,103,94,101
2343,C. Montone,1310689024,RID,217,R,88,90,,,,115,,95
2344,J. LeGuernic,1310690560,CLEM,584,L,104,120,,,117,95,,114
2345,J. Dickinson,1310691072,NIAG,149,L,83,117,,,,,,93
2346,S. Mitchell,1310705408,ALA,412,R,94,109,,115,108,109,,105
2347,T. Kaler,1310708224,GMU,322,L,96,108,,,,119,,106
2348,B. Dahlman,1310714112,LIB,397,R,98,97,107,97,94,,,98
2349,J. DiLorenzo,1310725120,ECU,153,R,105,,,,,107,108,106
2350,E. Harris,1310731520,APP,363,R,100,104,,,102,61,,94
2351,T. Grubbs,1310744832,UNM,106,R,102,,,,,,100,102
2352,J. Fordham,1310764309,LONG,530,R,120,102,,103,115,,,117
2353,C. Guy,1310783744,ASU,373,R,104,112,,96,,,,106
2354,C. Freeman,1310785024,EKY,163,R,95,92,,,102,83,,93
2355,C. Bunch,1310788096,BAY,556,R,88,,106,99,,106,,99
2356,D. Diamant,1310790656,UTAH,537,R,96,109,,,,88,,100
2357,T. Turner,1310825728,URI,230,R,96,99,,,,,,97
2358,J. Geis,1310829056,LMU,709,R,105,103,93,99,,96,,103
2359,J. Torres,1310834186,ALST,130,L,96,,106,,,,,98
2360,C. West,1310862081,CONN,1049,L,130,109,105,,,98,,117
2361,G. Guidry,1310862336,LSU,658,R,119,118,109,112,,101,,114
2362,C. McGarrh,1310868737,AC,646,R,100,86,,97,,89,,96
2363,G. Murray,1310871552,COFC,37,R,103,,,,,,,103
2364,B. Baker-Livingston,1310873856,JAC,359,R,89,111,106,107,,,,100
2365,G. Nard,1310874880,FSU,190,R,,104,,,102,100,,103
2366,Z. Crotchfelt,1310878720,TROY,821,L,115,,102,,,98,,111
2367,C. Padgett,1310883328,UNC,308,R,101,103,,,,108,,102
2368,C. Wisenbaker,1310884096,KSU,74,L,,89,,,,107,,97
2369,D. Mateffy,1310894336,HC,68,R,93,110,,,,,,100
2370,J. Beltran,1310913536,UVU,280,R,87,94,,,92,82,,89
2371,S. Sdao,1310973952,TXAM,1085,L,122,124,107,95,116,83,,115
2372,T. Sagouspe,1311019264,TCU,463,R,114,114,114,106,,,,113
2373,J. Volchko,1311020288,UGA,1136,R,108,123,113,99,88,,,112
2374,J. Thomas,1311025920,WASH,819,R,100,108,,102,,111,,103
2375,P. Steitz,1311026176,VCU,1081,R,106,108,101,91,,108,,106
2376,C. Okerholm,1311027200,UTSA,359,R,84,105,,,,101,109,93
2377,D. Suarez,1311054080,UCI,320,R,118,108,108,,,,,114
2378,M. Hatcher,1311060855,RAD,291,R,113,100,,,,,,111
2379,C. Pica,1311130656,LIP,212,L,103,,110,,,,,105
2380,B. Pendley,1311140864,GASO,974,R,98,105,104,112,,,,104
2381,A. Crowther,1311142144,ALA,402,L,,100,,,101,103,,101
2382,A. Quinichett,1311142400,NCAT,251,R,108,90,93,,,113,,104
2383,J. Sweeney,1311143680,JOES,215,R,105,104,,,,,,105
2384,P. MacCauley,1311145984,EVAN,218,R,107,96,,,,,,101
2385,A. Herrmann,1311153664,ULL,1431,L,105,101,110,65,,107,,103
2386,F. Ciccone,1311168256,ECU,150,R,104,103,,,,,,104
2387,M. Patel,1311169536,GT,428,R,106,101,,,102,93,,100
2388,G. Lambert,1311317760,MER,973,R,114,114,96,,,98,,113
2389,S. Hliboki,1311366656,NW,712,R,96,86,78,100,,,,93
2390,P. Curell,1311739384,GRAC,27,R,77,,,,,,,77
2391,W. Quinn,1311954944,TCU,315,R,105,96,,,107,,,105
2392,C. Dressler,1311965952,VCU,290,L,101,106,95,,,,,101
2393,M. McCullough,1312065513,TAR,538,R,95,108,102,99,94,,,99
2394,N. Phillips,1312161280,UOST,90,R,95,,,,,,,95
2395,B. Kenneally,1312914944,MONM,625,R,101,88,80,,,92,,96
2396,C. Nation,1313090304,LT,359,L,102,97,,,,98,,100
2397,L. Niemeyer,1313137705,LU,655,L,96,95,,93,92,98,,94
2398,T. Henshaw,1313347072,CHSO,189,L,87,80,94,,,100,,91
2399,G. Edwards,1313502976,UGA,176,R,,108,,,97,,,100
2400,D. Velazquez,1314206352,USC,377,R,121,114,,,,,,118
2401,D. DeLoreto,1314462548,NW,185,L,104,,,,,108,,105
2402,C. Greanead,1314523648,AC,187,R,87,103,,,,,,95
2403,H. Radbill,1314637701,RUTG,506,L,103,92,,119,108,82,,100
2404,C. Fink,1314894592,KU,214,R,103,92,,,,112,,106
2405,Z. Wright,1315019547,UOWG,393,R,105,89,86,,,,,99
2406,C. Vallejo,1315125386,UTRGV,249,R,87,103,,,,,,94
2407,E. Grim,1315673525,VT,615,R,116,112,,104,,83,,110
2408,M. Paz,1315747265,LSU,565,R,116,108,119,134,108,,,114
2409,J. Garcia,1315758336,APP,149,R,94,103,,,,,,97
2410,W. Turner,1316327508,UTM,211,L,89,90,,,,96,,91
2411,S. Stearns,1316364032,SIUE,844,R,96,95,,100,,99,105,97
2412,B. Strange,1316711936,ELON,932,R,109,108,,105,,96,,107
2413,B. Kaufman,1316841596,PRIN,247,R,89,,96,,99,88,,95
2414,R. Cahill,1317094520,DAY,280,R,99,105,99,,,,,100
2415,G. Grant,1317167919,FAU,796,R,94,90,,106,,109,,97
2416,A. Grohman,1317252108,UTRGV,31,R,88,,,,,,,88
2417,A. Booker,1317287551,QUC,423,R,85,97,99,100,,,,95
2418,G. Wheaton,1317377792,NIAG,530,R,96,83,,102,,107,95,96
2419,C. Fink,1317378048,NIAG,496,R,93,100,,87,89,106,,96
2420,H. Boushele,1317470155,HOU,462,R,99,114,99,,,,,106
2421,R. Peterson,1317479936,MILW,622,L,98,95,,111,99,99,,99
2422,J. Smallets,1317717863,CCAR,486,R,94,107,,110,101,,,103
2423,N. Sulpizio,1318575360,ODU,481,R,102,96,,,95,102,,99
2424,M. Augustin,1318576128,UVA,81,R,107,,,,,,,107
2425,M. Hippensteel,1318682880,UCD,118,R,114,,,,,104,,111
2426,C. Furey,1318702336,VILL,259,L,103,91,93,,,,,99
2427,E. Oceguera,1318718208,LAM,250,R,94,99,,99,98,,,97
2428,R. Spagnoli,1318776810,HOF,59,R,102,,,,,,,102
2429,B. Dowling,1318825216,HARV,225,L,83,94,,,102,99,,93
2430,G. Johnston,1318831616,SEMO,234,R,117,103,98,,,,,108
2431,E. Jones,1318851164,UTAH,134,R,91,,,,97,,,96
2432,B. Cleaver,1318951936,UK,736,L,105,116,85,90,,116,,102
2433,M. Yehl,1319280896,WVU,987,L,105,131,117,,109,,,115
2434,J. Donlin,1319293716,ME,184,L,97,98,,,,,,97
2435,D. Smith,1319356094,DAV,151,R,92,73,,,93,,,87
2436,M. Murray,1319605702,UCF,495,R,113,102,91,105,,109,,106
2437,B. Bounds,1319871474,UK,289,R,94,112,,,91,,,104
2438,P. Puetz,1320358144,NDSU,544,R,98,107,94,106,,,,101
2439,E. Lewis,1320359680,YALE,81,R,107,,,,,,,107
2440,J. Kim,1320362240,PRIN,884,R,97,83,99,,,85,,96
2441,M. Burke,1320364544,DART,204,R,101,93,,,105,109,,104
2442,A. Plummer,1320365568,DART,58,R,86,,,,,,,86
2443,N. Keller,1320370432,COR,222,L,97,93,,,106,90,,97
2444,J. Shea,1320370944,COR,238,R,79,93,,101,99,90,,92
2445,K. Soder,1321318237,UTAH,297,R,,91,97,,87,,,93
2446,X. Mercurius,1321561228,OKLA,490,R,115,105,99,,,94,108,110
2447,J. Meek,1321719031,UCD,196,L,96,104,,,,87,,96
2448,C. Wiegert,1321821184,NDSU,143,R,96,108,,,,,,101
2449,E. Green,1321865473,NKU,318,R,98,115,,104,,111,,106
2450,H. Robello,1321995815,HAW,454,R,100,85,,,97,102,,96
2451,C. Owens,1322128640,MORE,205,R,104,89,,,,,,101
2452,R. Weller,1322556968,SIND,955,R,106,101,99,102,,83,,100
2453,Z. Strickland,1322719807,UCLA,499,R,119,122,,,,99,,119
2454,T. Baird,1322899038,VAN,725,R,116,98,,90,114,100,,107
2455,J. Jones,1322928128,CARK,479,R,106,,79,,,115,93,101
2456,M. Morello,1323311156,FOR,65,R,,,,,87,,,87
2457,J. Story,1323373824,UNCO,430,R,96,91,97,,,98,,95
2458,S. Johnson,1323794635,ORE,85,L,113,100,,,,,,107
2459,A. Anzaldi,1323961344,NJIT,172,L,101,102,,,,,,101
2460,A. Mucciarone,1323961600,MASSL,446,R,91,96,,,97,109,,96
2461,J. Haggard,1324308155,TC,101,R,63,,,,,,,63
2462,L. Wade,1324737792,MOSU,332,R,102,104,106,,,,,104
2463,B. Palmer,1324748800,AC,218,R,91,,102,105,,,,97
2464,M. Walsh,1324797184,LU,294,R,97,94,110,105,,,,99
2465,L. Palmer,1324968192,CP,191,R,107,104,,,,,,107
2466,C. Tryba,1324981760,UCSB,539,L,116,109,,77,113,58,,98
2467,B. Trombello,1324993792,TTU,165,R,81,99,,,78,94,,86
2468,D. Swanson,1325155353,TOL,655,L,110,94,97,,113,99,,104
2469,B. Theis,1325570623,MILW,45,R,83,,,,,,,83
2470,B. Yagesh,1325756255,VT,608,L,100,107,107,,,96,,103
2471,M. Thornton,1325898240,ORU,406,R,97,87,,88,,86,,92
2472,L. Lee,1325986951,MASS,148,R,109,,108,,,,,109
2473,L. Hartman,1326142760,JAC,105,R,95,93,,,,,,94
2474,J. Levine,1326710785,MASS,80,R,93,,,,,,,93
2475,J. Agosto,1327017728,UNA,803,R,104,86,84,107,,95,,100
2476,N. Varlotta,1327076439,UNA,64,R,98,,,,,,,98
2477,K. Myers,1327162743,COFC,526,R,97,93,,,,90,,95
2478,Z. Broderick,1327271424,MRMK,128,L,105,,,,,99,,104
2479,J. Easterlin,1327301888,OAK,396,R,79,,,,,103,,93
2480,K. Lyons,1327302400,UIC,877,R,105,107,104,101,,95,,103
2481,J. Vaccarella,1327393819,ARMY,81,R,84,,,99,,,,89
2482,R. Halamicek,1327579136,SIU,215,R,92,,108,,,115,,101
2483,A. Luczak,1327581952,PITT,231,R,110,104,,126,110,,,114
2484,H. Lippman,1327586304,WM,481,R,107,105,98,100,,,,104
2485,B. Yang,1327903588,BRWN,406,R,88,81,,,,,,87
2486,N. Bethel,1327948702,KENN,28,R,92,,,,,,,92
2487,L. Knight,1328140800,CIN,871,R,85,115,103,124,80,119,,104
2488,B. Pacha,1328327131,WICH,522,R,106,110,,,,,108,107
2489,L. Tibbett,1328415425,APP,392,R,95,95,96,101,,,,96
2490,T. Wood,1328838040,WAKE,48,R,119,,,,,,,119
2491,T. Benko,1328843982,M-OH,543,R,85,99,,,95,113,,95
2492,H. Cody,1328910336,USD,499,R,89,92,,91,97,119,,94
2493,G. Elliott,1328976347,SFA,53,R,85,,,,,,,85
2494,C. McBride,1329378556,WASH,28,L,108,,,,,,,108
2495,L. Pintar,1329557043,SJSU,330,L,96,88,,91,93,100,,94
2496,S. Jensen,1330044047,DAY,1018,R,109,95,92,,,100,,102
2497,N. Bacura,1330097408,SF,272,R,109,112,96,,,,,108
2498,H. Hargett,1330098432,SCU,243,R,112,102,,,,,,109
2499,M. Negrete,1330098688,CSF,1045,L,107,110,,,,101,,108
2500,S. Toney,1330193152,UNA,230,R,92,88,,,94,100,105,96
2501,S. Burgess,1330328297,CBU,244,L,99,98,93,,,110,,100
2502,N. Melton,1330329600,UNCA,71,L,,100,91,,,,,94
2503,E. Del Valle,1330578944,DSU,27,L,92,,,,,,,92
2504,C. Benge,1330701056,LSU,109,R,,132,,,120,,,124
2505,M. Heyl,1330719488,UCF,101,L,106,89,,,,,,101
2506,B. House,1330720512,UAB,231,R,98,108,,,,,,101
2507,R. Witmer,1330721536,FAU,327,R,98,,,96,,96,,97
2508,C. Wimbish,1330729984,CAMP,707,R,115,,104,99,,,,107
2509,D. Vigue,1330730752,UGA,820,R,100,111,,,110,,,110
2510,C. Randall,1330736128,UCLA,446,R,124,,,,,91,,122
2511,C. Batuyios,1330739712,SJU,32,R,98,,,,,,,98
2512,A. Decker-Petty,1330766592,LIB,396,R,95,114,,,99,,,106
2513,B. Sherrard,1330774016,BUT,46,R,96,,,,,,,96
2514,T. Smith,1330780928,USA,307,R,92,111,,,90,100,,99
2515,J. Abraham,1330801408,FSU,603,R,105,122,122,,95,101,,110
2516,D. Harrison,1330801664,RUTG,676,R,104,101,105,89,103,97,,100
2517,J. Malone,1330808832,SAM,526,R,96,112,105,,,,,103
2518,B. Ertel,1330827264,GMU,161,R,,94,,,92,78,,89
2519,T. Brennan,1330905344,UGA,66,L,99,124,,,,,,115
2520,F. Capocci,1330950400,UNCW,449,R,101,109,99,104,,,,103
2521,G. Brooks,1330981376,JAC,72,R,,98,,,106,,,102
2522,A. Carey,1331242204,GW,132,R,93,81,,,,,,89
2523,L. Jackman,1331980800,GTWN,172,R,108,90,,,,,,104
2524,N. Smith,1332052736,CBU,109,R,,101,,,112,,,109
2525,J. Moore,1332131584,TULN,206,R,110,105,,,,,,108
2526,J. Dudan,1332182272,NCST,741,R,109,114,,106,106,100,,109
2527,K. Dove,1332186624,UTSA,601,R,89,83,,92,99,98,,93
2528,S. Carter,1332328744,DSU,74,R,82,99,,,,,,91
2529,B. Henson,1332780908,EMU,374,L,102,98,,,,83,,99
2530,T. Monroe,1332842316,VMI,441,L,87,87,,,,93,,88
2531,I. Morton,1332972288,MINN,676,R,108,119,,103,105,110,,108
2532,J. Worthley,1332973056,NEB,197,L,109,103,99,,,93,,104
2533,J. Capellupo,1332974592,SBON,274,R,94,108,,96,,,,97
2534,D. Cohen,1332975104,YALE,531,R,97,105,,,,,,100
2535,E. Hall,1332975872,DAV,675,R,99,114,104,103,,125,,110
2536,S. Mazza,1332977152,MRST,230,R,102,,,98,,108,,103
2537,T. Sausville,1332978432,SIE,69,L,120,90,,,,,,106
2538,O. Stewart,1332978944,GMU,547,R,96,112,,113,,,,107
2539,R. Huke,1333249882,CLMB,338,R,91,96,,,94,104,,95
2540,B. Hickman,1333315585,ARIZ,297,R,111,,,100,,,,110
2541,T. Landen,1333481984,UNCO,364,R,94,100,,,,125,,99
2542,B. Rod,1333489408,HCU,26,L,95,,,,,,,95
2543,W. Ray,1333551872,WAKE,247,R,104,104,,119,109,,,108
2544,C. Allen,1334000896,WRST,804,R,102,114,113,106,,107,,107
2545,C. Brown,1334014458,CIN,572,R,106,110,112,101,,,,107
2546,O. Arndt,1334114191,JVST,25,R,,114,,,,,,114
2547,N. Johnson,1334270720,TCU,283,L,97,85,,,,111,,98
2548,C. Hack,1334284288,VALP,159,L,84,104,,,,,,88
2549,T. Lutz,1334296832,LAM,624,R,109,103,99,102,,99,,104
2550,J. Lessman,1334299648,UIC,415,L,109,,75,,,,,91
2551,T. Neubeck,1334300672,IND,987,L,113,109,108,98,,99,,109
2552,A. Brouwer,1334314752,CIN,679,R,111,98,95,,,99,,106
2553,R. Weaver,1334320640,NW,869,L,107,103,,,108,101,,105
2554,J. Giordano,1334554354,RICH,916,L,106,104,98,,,103,121,106
2555,A. Knowles,1334766808,TOWS,673,R,93,109,109,102,,111,,102
2556,J. Feehery,1334876920,DUKE,260,L,82,95,118,73,,,,99
2557,N. Balcom,1334909196,QUIN,357,R,102,99,,94,,95,,99
2558,E. Norby,1335271936,ECU,1364,L,118,116,102,105,134,94,,114
2559,E. Myers,1335884974,CSB,603,R,109,106,103,,,96,,106
2560,B. Bryans,1335999920,JVST,947,L,110,126,,,,96,,111
2561,C. Carver,1336080896,BU,303,R,86,110,,99,,98,,94
2562,J. Gay,1336104192,RICH,394,R,105,103,,,,111,,105
2563,M. Johnson,1336246272,WRST,190,R,95,96,,,96,89,,95
2564,C. Maloney,1336247552,URI,175,R,110,105,,,,,,108
2565,B. Reiter,1336293657,PITT,190,L,104,,,,,107,,105
2566,P. Torres,1336538368,COOK,52,R,109,,,,,,,109
2567,F. Beruvides Jr.,1336559104,PITT,371,L,96,97,,90,,86,,95
2568,J. Hays,1336560384,STET,988,R,99,95,97,100,,101,,98
2569,D. Loy,1336565504,GT,665,L,99,102,97,102,,94,,100
2570,R. Reich,1336566784,HALL,404,R,118,104,,,,,,113
2571,T. Pitzer,1336570368,MSST,320,R,112,112,,,,,,112
2572,B. Louck,1336573696,ASU,86,L,116,,,,,,,116
2573,B. Moore,1336577792,FSU,793,R,117,118,112,103,,112,,114
2574,E. Copper,1336579328,CHAR,915,R,97,92,,,107,116,,97
2575,C. Cohn,1336580864,NIU,110,R,108,107,,,,,,108
2576,P. Crowl,1336581632,VT,677,R,120,114,,98,,96,92,109
2577,Z. Sigman,1336581633,OSU,86,R,112,106,,,,,,109
2578,H. Henry,1336587264,CHSO,385,R,94,98,95,,,101,,96
2579,B. Rhudy,1336597248,TENN,365,R,122,105,,,,,,117
2580,E. Miranda,1336606464,SDSU,206,R,108,100,,,,,,106
2581,D. Titsworth,1336610560,CLEM,588,R,110,91,,93,112,,,105
2582,G. Madden,1336615936,JMU,422,R,108,100,97,,,,,105
2583,Z. Starling,1336619008,UNF,122,R,107,102,,,,,,106
2584,M. Uebelhor,1336653056,WKU,501,R,98,77,105,,,,,95
2585,J. Gilleran,1336664320,SC,211,R,85,98,86,,,,,88
2586,M. Horwat,1336898304,PSU,573,R,103,93,,75,99,94,,96
2587,J. Foster,1336946688,MSM,262,R,98,95,92,,,,,97
2588,D. Alonso,1336993280,TROY,670,R,96,118,122,90,,,,109
2589,C. Linder,1337038062,ASU,775,R,123,111,106,110,,,,120
2590,R. Bergren,1337281277,NIU,62,R,85,54,,,,,,70
2591,M. OBrien,1337608237,UCRV,328,L,105,84,,,,103,,100
2592,L. Smothers,1337651505,MURR,53,R,96,,,,,,,96
2593,G. Brown,1338170880,UTSA,855,R,98,111,106,108,100,100,,103
2594,C. Morgan,1338256393,PRE,97,R,85,96,,,,81,,88
2595,B. Kline,1338491648,BRWN,210,R,93,,,,100,,,94
2596,W. Marien,1338526962,NWST,413,R,104,,93,,,,,101
2597,B. Frost,1338837981,IOWA,183,L,105,98,,,,91,,101
2598,G. Murry,1339040855,BAY,492,R,95,101,,,114,78,,100
2599,J. Gleason,1339150572,MSST,357,R,117,112,,,,,,116
