,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
134,M. Torres,1043546293,UOWG,605,R,93,98,105,,,109,,99
135,G. Swigart,1043548992,ROCH,41,R,76,,,,,,,76
136,J. Escobalez Jr.,1043665757,MVSU,62,L,89,,,,,,,89
137,B. Eager,1043753289,CIN,125,L,92,,,,,111,,101
138,T. Phenow,1044701315,TCU,196,R,102,95,,,104,,,102
139,L. Hayes,1044740211,MORE,227,R,94,97,,,,102,,96
140,A. Buffkin,1044752025,CIT,694,R,91,81,,,98,87,,90
141,J. Gunzy,1044837933,SIE,74,R,103,,,,,,,103
142,G. Townsend,1045756066,WAG,44,R,102,,,,,,,102
143,B. Buckley,1045786903,BUT,954,R,94,109,,,100,108,,103
144,C. Strawn,1046116508,ORE,46,R,114,,,,,,,114
145,P. Waters,1046385737,JAC,155,R,94,105,,,,,,99
146,I. Hallam,1046557013,SEA,373,R,104,100,,99,,96,,101
147,C. Carwile,1046959243,ETSU,236,L,111,93,,,112,107,,107
148,C. Wallace,1047008343,AC,561,L,94,107,102,,,,,101
149,N. Kubasky,1047774712,UNLV,45,L,106,,,,,,,106
150,C. Chamberlain,1047992312,BU,221,R,108,,103,,,,,107
151,H. Johnson,1048152375,CIN,80,L,106,,,,,,,106
152,M. Digirolamo,1048366386,UCRV,140,R,,110,,,,,,110
153,A. Lee,1048925117,GC,146,R,102,,,101,,,,101
154,E. Puodziunas,1049499541,MICH,315,R,100,106,110,85,94,,,97
155,J. Gregoire,1049839107,SCAR,354,R,116,108,,,,,105,111
156,R. Olivas,1050165019,UCSB,424,R,116,106,102,,,100,,109
157,C. Campbell,1050182126,VCU,557,R,106,94,,,103,,,102
158,J. Sobel,1050476128,MIZZ,176,L,110,103,,95,,,,106
159,J. Favela,1050494409,WKU,301,R,106,93,,,,,100,103
160,O. Luchies,1050829340,LIU,75,R,91,103,,,,,,96
161,K. Muck,1050884159,XAV,222,R,108,104,,99,102,,,104
162,C. Frail,1051430934,COFC,324,R,97,113,,,,100,,105
163,A. Chancellor,1051716653,AUB,139,L,120,,,,,119,,120
164,B. Coe,1051907297,AC,332,R,114,93,,,,,,107
165,J. Thorne,1052287124,SPC,32,R,94,,,,,,,94
